公司标识,车牌号,行政区编号,定位时间,纬度,经度,瞬时速度,方向角,海拔高度,行驶里程,坐标加密标识,预警状态,车辆状态,运营状态,订单编号,来源,时间差,纬度差,经度差,时间段
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:14:05,"31.279394","121.591926","1","136","1","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9363306,"0","0.0","0.0",2023-04-24 11:10
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:14:35,"31.278595","121.592114","35","126","3","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9384250,"30","-0.0008","0.000187",2023-04-24 11:10
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:15:05,"31.276445","121.595494","13","125","3","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9393141,"30","-0.00215","0.003381",2023-04-24 11:15
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:15:35,"31.274386","121.598724","21","126","2","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9397288,"30","-0.002059","0.00323",2023-04-24 11:15
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:17:05,"31.26905","121.6","48","182","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9427675,"90","-0.005336","0.001276",2023-04-24 11:15
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:18:35,"31.265493","121.606247","28","120","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9456250,"90","-0.003557","0.006247",2023-04-24 11:15
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:19:05,"31.26414","121.608912","11","121","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9467109,"30","-0.001354","0.002665",2023-04-24 11:15
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:19:35,"31.263874","121.609367","41","121","6","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9481874,"30","-0.000266","0.000455",2023-04-24 11:15
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:20:05,"31.262433","121.612281","32","121","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9484848,"30","-0.001441","0.002914",2023-04-24 11:20
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:20:35,"31.260786","121.615857","49","113","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9496784,"30","-0.001647","0.003576",2023-04-24 11:20
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:22:05,"31.260603","121.617265","46","52","7","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9533094,"90","-0.000183","0.001408",2023-04-24 11:20
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:22:35,"31.262218","121.619729","25","52","4","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9539951,"30","0.001615","0.002464",2023-04-24 11:20
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:23:05,"31.26312","121.622758","50","90","4","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9551224,"30","0.000902","0.003029",2023-04-24 11:20
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:23:35,"31.262753","121.622968","26","181","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9567842,"30","-0.000367","0.00021",2023-04-24 11:20
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:24:05,"31.262753","121.622968","30","181","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9578868,"30","0.0","0.0",2023-04-24 11:20
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:25:05,"31.26277","121.622972","9","181","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9588579,"60","1.7e-05","4.0e-06",2023-04-24 11:25
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:25:35,"31.26277","121.622972","27","181","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9603340,"30","0.0","0.0",2023-04-24 11:25
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:26:35,"31.26277","121.622972","38","181","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9624605,"60","0.0","0.0",2023-04-24 11:25
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:27:05,"31.26277","121.622972","14","181","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9634117,"30","0.0","0.0",2023-04-24 11:25
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:27:35,"31.26277","121.622972","1","181","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9657272,"30","0.0","0.0",2023-04-24 11:25
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:28:05,"31.26277","121.622972","2","181","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9669296,"30","0.0","0.0",2023-04-24 11:25
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:28:35,"31.26277","121.622972","36","181","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9660935,"30","0.0","0.0",2023-04-24 11:25
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:29:05,"31.26277","121.622972","4","181","5","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9680234,"30","0.0","0.0",2023-04-24 11:25
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:29:35,"31.262769","121.622978","39","181","6","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9694405,"30","-1.0e-06","6.0e-06",2023-04-24 11:25
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:30:35,"31.262769","121.622978","30","185","6","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9724044,"60","0.0","0.0",2023-04-24 11:30
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:31:05,"31.262769","121.622978","36","185","6","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9738165,"30","0.0","0.0",2023-04-24 11:30
shouyue,00028285631475467C53540B25F6853A,"310000",2023-04-24 11:31:35,"31.262769","121.622978","28","185","6","0","1","0","0","3","0",NETCAR_VEHICLEPOSITION_0424.txt:9730951,"30","0.0","0.0",2023-04-24 11:30
